name,age,height_cm,weight_kgs,positions,nationality,overall_rating,international_reputation,body_type,national_team,national_rating,freekick_accuracy,sprint_speed,shot_power,strength,penalties,preferred_foot,value_euro
L. Messi,31,170.18,72.1,"CF,RW,ST",Argentina,94,5,Normal,Argentina,82,94,86,85,66,75,Left,98673094
C. Eriksen,27,154.94,76.2,"CAM,RM,CM",Denmark,88,3,Lean,Denmark,78,87,73,84,58,67,Right,69500000
P. Pogba,25,190.5,83.9,"CM,CAM",France,88,4,Normal,France,84,82,79,90,87,82,Right,73000000
L. Insigne,27,162.56,59,"LW,ST",Italy,88,3,Normal,Italy,83,77,86,75,44,61,Right,62000000
K. Koulibaly,27,187.96,88.9,CB,Senegal,88,3,Normal,,,28,75,55,94,33,Right,60000000
V. van Dijk,27,193.04,92.1,CB,Netherlands,88,3,Normal,Netherlands,81,70,77,81,92,62,Right,59500000
K. Mbappé,20,152.4,73,"RW,ST,RM",France,88,3,Lean,France,84,63,96,79,71,70,Right,81000000
S. Agüero,30,172.72,69.9,ST,Argentina,89,4,Stocky,Argentina,82,73,80,88,73,83,Right,64500000
M. Neuer,32,193.04,92.1,GK,Germany,89,5,Normal,Germany,85,11,60,25,80,47,Right,38000000
E. Cavani,32,185.42,77.1,ST,Uruguay,89,4,Lean,Uruguay,81,76,76,87,78,85,Right,60000000
Sergio Busquets,30,187.96,76.2,"CDM,CM",Spain,89,4,Lean,Spain,85,68,52,61,77,60,Right,51500000
T. Courtois,26,198.12,96.2,GK,Belgium,89,4,Courtois,Belgium,85,20,52,36,70,27,Left,53500000
M. ter Stegen,26,187.96,84.8,GK,Germany,89,3,Normal,Germany,85,12,50,22,78,25,Right,58000000
A. Griezmann,27,175.26,73,"CF,ST",France,89,4,Lean,France,84,84,85,82,62,83,Left,78000000
M. Salah,26,175.26,71.2,"RW,ST",Egypt,89,3,PLAYER_BODY_TYPE_25,Egypt,73,60,91,80,70,75,Left,78500000
P. Dybala,25,152.4,74.8,"CAM,RW",Argentina,89,3,Normal,Argentina,82,88,83,82,65,86,Left,89000000
M. Škriniar,24,187.96,79.8,CB,Slovakia,86,1,Normal,,,30,73,50,85,56,Right,53500000
Fernandinho,33,152.4,67.1,CDM,Brazil,87,3,Lean,,,72,67,83,76,61,Right,20500000
G. Higuaín,31,185.42,88.9,ST,Argentina,87,4,Normal,,,62,72,86,85,70,Right,48500000
I. Rakitić,30,182.88,78,"CM,CDM",Croatia,87,4,Lean,,,82,62,84,71,82,Right,46500000
J. Vertonghen,31,187.96,86.2,CB,Belgium,87,3,Normal,Belgium,85,73,65,80,79,66,Left,34000000
D. Mertens,31,170.18,60.8,"CF,ST",Belgium,87,3,Normal,Belgium,85,79,85,80,42,79,Right,45000000
Marcelo,30,175.26,79.8,LB,Brazil,87,4,Normal,,,67,82,83,78,59,Left,36500000
T. Alderweireld,30,185.42,81.2,CB,Belgium,87,3,Normal,Belgium,85,69,67,78,79,58,Right,44000000
Jordi Alba,29,170.18,68,LB,Spain,87,3,Normal,Spain,85,63,93,64,61,59,Left,38000000
Thiago,27,175.26,69.9,"CM,CAM,CDM",Spain,87,3,Normal,Spain,85,77,69,76,59,75,Right,51500000
C. Immobile,29,185.42,84.8,ST,Italy,87,3,Normal,Italy,83,51,85,86,76,78,Right,52000000
K. Navas,32,185.42,79.8,GK,Costa Rica,87,3,Normal,,,15,53,21,75,25,Right,30500000
Isco,26,175.26,78.9,"CAM,CM,LW",Spain,87,3,Normal,Spain,85,76,69,69,59,76,Right,62500000
J. Rodríguez,27,154.94,74.8,"CAM,CM,RM",Colombia,87,4,Normal,Colombia,79,86,67,86,68,81,Left,59000000
Casemiro,27,185.42,83.9,CDM,Brazil,87,3,Normal,,,74,66,86,89,66,Right,50500000
M. Icardi,26,154.94,74.8,ST,Argentina,87,3,Normal,Argentina,82,45,78,84,76,82,Right,64500000
Kepa,24,185.42,84.8,GK,Spain,84,1,Lean,Spain,85,19,33,25,51,24,Right,31000000
H. Ziyech,25,154.94,64.9,"CAM,RW",Morocco,84,3,Lean,,,78,74,80,59,72,Left,38000000
Fabinho,25,187.96,78,CDM,Brazil,84,3,Lean,,,53,72,78,79,91,Right,34000000
A. Martial,23,182.88,76.2,"LW,ST,LM",France,84,3,Normal,,,54,89,84,75,81,Right,42500000
T. Werner,23,154.94,74.8,ST,Germany,84,3,Normal,Germany,85,56,93,78,64,72,Right,40000000
N. Süle,23,195.58,97.1,CB,Germany,84,2,Stocky,Germany,85,30,84,77,94,32,Right,36500000
Bruno Fernandes,24,152.4,68.9,"CAM,CM",Portugal,84,2,Lean,Sporting CP,78,85,76,87,67,82,Right,40500000
Alex Telles,26,154.94,71.2,LB,Brazil,84,3,Lean,,,79,85,80,68,73,Left,31000000
J. Giménez,24,185.42,79.8,CB,Uruguay,84,2,Normal,Uruguay,81,44,70,72,85,38,Right,34000000
N. Fekir,25,172.72,74.8,CAM,France,84,3,Stocky,,,79,79,84,82,76,Left,40500000
D. Sánchez,22,187.96,78.9,CB,Colombia,84,2,Lean,Colombia,79,27,79,66,83,44,Right,34000000
Marco Asensio,23,182.88,76.2,"LW,RW",Spain,84,3,Normal,Spain,85,76,82,86,61,62,Left,41500000
O. Dembélé,21,152.4,67.1,"RW,LW",France,84,3,Lean,France,84,64,93,83,52,75,Left,46000000
